"inn_clean","ema_ma_date","orphan_flag"
"lutetium (177lu) vipivotide tetraxetan",2022-12-09,"No"
"lutropin alfa",2000-11-29,"No"
"macimorelin",2019-01-11,"No"
"macitentan",2013-12-20,"No"
"macitentan;tadalafil",2024-09-27,"No"
"mannitol",2012-04-13,"No"
"maralixibat chloride",2022-12-09,"Yes"
"maraviroc",2007-09-18,"No"
"maribavir",2022-11-09,"Yes"
"marstacimab",2024-11-18,"No"
"mavacamten",2023-06-26,"No"
"mavorixafor",2026-04-27,"Yes"
"measles, mumps and rubella vaccine (live)",2006-05-05,"No"
"measles, mumps, rubella and varicella vaccine (live)",2006-04-05,"No"
"mecasermin",2007-08-02,"No"
"melatonin",2007-06-29,"No"
"melphalan",2020-11-16,"No"
"melphalan flufenamide",2022-08-17,"No"
"memantine",2002-05-15,"No"
"memantine hydrochloride",2012-11-22,"No"
"meningococcal group a, c, w-135 and y conjugate vaccine",2010-03-15,"No"
"meningococcal group b vaccine (rdna, component, adsorbed)",2013-01-13,"No"
"meningococcal group b vaccine (recombinant, adsorbed)",2017-05-24,"No"
"meningococcal groups a, c, w-135 and y conjugate vaccine",2012-04-20,"No"
"mepolizumab",2015-12-01,"No"
"mercaptamine",2013-09-05,"No"
"mercaptamine bitartrate",1997-06-23,"No"
"mercaptopurine",2012-03-09,"No"
"meropenem;vaborbactam",2018-11-20,"No"
"methotrexate",2016-08-18,"No"
"methoxy polyethylene glycol-epoetin beta",2007-07-20,"No"
"methylnaltrexone bromide",2008-07-01,"No"
"methylphenidate hydrochloride",2025-02-28,"No"
"methylthioninium chloride",2011-05-06,"No"
"metreleptin",2018-07-30,"Yes"
"mexiletine",2018-12-18,"Yes"
"micafungin",2008-04-25,"No"
"midazolam",2011-09-04,"No"
"midostaurin",2017-09-18,"Yes"
"mifamurtide",2009-03-06,"No"
"migalastat",2016-05-25,"No"
"miglustat",2002-11-20,"No"
"mirabegron",2012-12-20,"No"
"mirdametinib",2025-07-17,"Yes"
"mirikizumab",2023-05-26,"No"
"mirvetuximab soravtansine",2024-11-14,"Yes"
"mitapivat",2022-11-09,"Yes"
"mitotane",2004-04-28,"No"
"mogamulizumab",2018-11-22,"Yes"
"momelotinib",2024-01-25,"Yes"
"moroctocog alfa",1999-04-13,"No"
"mosunetuzumab",2022-06-03,"Yes"
"mycobacterium tuberculosis derived antigens (rdesat-6 / rcfp-10)",2025-01-13,"No"
